Restaurant Name,Restaurant Type,Cuisine Type,Restaurant Area,Restaurant Rating,Review Counts,Latitude,Longitude,Website,Restaurant Address,Price for 2,Additional Info
Bakso Balungan,Quick Bites,['Bakso'],Limo,Not Rated Yet,TIdak cukup Ulasan,-6.3810620000,106.769067000,"https://www.zomato.com/id/jakarta/bakso-balungan-limo-depok
","Jl. Raya Meruyung No. 47, Limo, Depok",Rp70.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Pinku,Toko Minuman,['Minuman'],Pondok Aren,Not Rated Yet,TIdak cukup Ulasan,-6.2776110000,106.719552000,"https://www.zomato.com/id/jakarta/pinku-pondok-aren-tangerang
","Transpark Bintaro, Lantai 2, Jl. Prof. DR. Satrio No. 5, Pondok Aren, Tangerang",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Soto Ayam Pak Min,Quick Bites,"['Jawa', 'Soto']",Senopati,Not Rated Yet,TIdak cukup Ulasan,-6.2401734676,106.812833100,"https://www.zomato.com/id/jakarta/soto-ayam-pak-min-2-senopati
","Jl. Cipaku 1, Senopati, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Ebony Roastery,Kafe,"['Kopi', 'Minuman']",Pantai Indah Kapuk,3.9,35 Ulasan,-6.1034300263,106.741173528,"https://www.zomato.com/id/jakarta/ebony-roastery-pantai-indah-kapuk
","Fresh Market Pantai Indah Kapuk, Jl. Pantai Indah Kapuk Boulevard No. 29 - 30, Pantai Indah Kapuk, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan', 'Wifi Tersedia', 'Desserts and Bakes']"
Soto Betawi & Soto Tangkar,Food Court,"['Soto', 'Indonesia']",Pondok Aren,Not Rated Yet,TIdak cukup Ulasan,-6.2845010000,106.727691000,"https://www.zomato.com/id/jakarta/soto-betawi-soto-tangkar-pondok-aren-tangerang
","Bintaro Jaya Xchange Mall CBD, Lantai 1, Food Xchange, Jl. Boulevard Bintaro Jaya, Pondok Aren, Tangerang",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Bakso Malang Kios Presiden,Quick Bites,"['Bakso', 'Bakmi']",Kec. Tangerang,Not Rated Yet,TIdak cukup Ulasan,-6.1765210000,106.631682000,"https://www.zomato.com/id/jakarta/bakso-malang-kios-presiden-kec-tangerang-tangerang
","Jl. Kiasnawi No. 59, Kec. Tangerang, Tangerang",Rp60.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Oma Ronde,Food Court,['Desserts'],Pondok Aren,Not Rated Yet,TIdak cukup Ulasan,-6.2859410000,106.727882000,"https://www.zomato.com/id/jakarta/oma-ronde-pondok-aren-tangerang
","Bintaro Jaya Xchange Mall CBD, Lantai 1, Food Xchange, Jl. Boulevard Bintaro Jaya, Pondok Aren, Tangerang",Rp40.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Wifi Tersedia', 'Desserts and Bakes']"
Sate Taichan Bang Alim Salemba,Kaki Lima,['Satay'],Senen,Not Rated Yet,TIdak cukup Ulasan,-6.1937881707,106.851323135,"https://www.zomato.com/id/jakarta/sate-taichan-bang-alim-salemba-senen
","Jl. Salemba Tengah No. 15, Senen, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar']"
Clean Slate Coffee Roaster,Kafe,"['Quick Bites', 'Kopi', 'Itali', 'Asia', 'Barat']",Serpong Utara,4.3,271 Ulasan,-6.2534440000,106.621105000,"https://www.zomato.com/id/jakarta/clean-slate-coffee-roaster-serpong-utara-tangerang
","Ruko L'Agricola, Jl. Raya Gading Serpong, Blok C No. 11, Serpong Utara, Tangerang",Rp160.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Wifi Tersedia', 'Area Merokok']"
Kobe Tei,Casual Dining,['Jepang'],Kelapa Gading,4.1,104 Ulasan,-6.1466450000,106.897546000,"https://www.zomato.com/id/jakarta/kobe-tei-kelapa-gading
","Jl. Boulevard Artha Gading, Blok A7B No. 8-10, Kelapa Gading, Jakarta",Rp300.000 untuk 2 orang (perkiraan)Tanpa alkohol,"['Hanya Bir', 'Parkir Gratis', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Ramah untuk Anak', 'Wifi Tersedia']"
BreadLife,Toko Kue & Roti,['Kue & Roti'],Penjaringan,2.9,24 Ulasan,-6.1272665205,106.790485605,"https://www.zomato.com/id/jakarta/breadlife-penjaringan
","Emporium Pluit Mall, Lantai 3, Jl. Pluit Selatan Raya, Penjaringan, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Hanya Bawa Pulang', 'Wifi Tersedia', 'Desserts and Bakes']"
Morethana Mini Library & Coffee,Kafe,"['Kafe', 'Kopi', 'Tea']",Pondok Aren,3.9,175 Ulasan,-6.2804240000,106.712936000,"https://www.zomato.com/id/jakarta/morethana-mini-library-coffee-pondok-aren-tangerang
","Jl. Kasturi HA 1 No. 17, Pondok Aren, Tangerang",Rp80.000 untuk 2 orang (perkiraan),"['Pesan Antar', 'Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan', 'Area Merokok', 'Wifi Tersedia']"
Say Something Coffee,Kafe,['Kafe'],Meruya,4.1,208 Ulasan,-6.1917830000,106.751107000,"https://www.zomato.com/id/jakarta/say-something-coffee-meruya
","Ruko Grand Aries Niaga, Blok G1 No. 20, Jl. Taman Aries, Meruya, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Wifi Tersedia']"
Twenty Five Bunny’s,Quick Bites,['Indonesia'],Bogor Tengah,Not Rated Yet,TIdak cukup Ulasan,-6.5906770000,106.805357000,"https://www.zomato.com/id/jakarta/twenty-five-bunnys-bogor-tengah-bogor
","Jl. Kumbang No. 17, Bogor Tengah, Bogor",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Ngunya,Casual Dining,"['Barbekyu', 'Indonesia']",Bekasi Selatan,Not Rated Yet,TIdak cukup Ulasan,-6.2766350000,106.974356000,"https://www.zomato.com/id/jakarta/ngunya-bekasi-selatan-bekasi
","Jl. Boulevard Raya 51, RT.001/RW.002, Jaka Setia, Bekasi Selatan, Bekasi",Rp200.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Reservasi meja direkomendasikan', 'Di dalam ruangan']"
BeansBro,Toko Minuman,['Kopi'],Kelapa Gading,Not Rated Yet,Not Reviewed Yet,-6.1679870000,106.900254000,"https://www.zomato.com/id/jakarta/beansbro-kelapa-gading
","Jl. Boulevard Raya, Blok TT 2 No. 7, Kelapa Gading, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Waroeng Steak & Shake,Quick Bites,['Steak'],Kec. Tangerang,Not Rated Yet,TIdak cukup Ulasan,-6.1846020000,106.631911000,"https://www.zomato.com/id/jakarta/waroeng-steak-shake-kec-tangerang-tangerang
","Jl. Kisamaun No. 162, Kec. Tangerang, Tangerang",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Baso Aci Akang,Quick Bites,"['Bakso', 'Indonesia']",Ciledug,Not Rated Yet,TIdak cukup Ulasan,-6.2429840914,106.716264188,"https://www.zomato.com/id/jakarta/baso-aci-akang-ciledug-tangerang
","Jl. H. Mencong Ciledug, Tangerang",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Onogiri Futago,Food Court,['Jepang'],Senopati,Not Rated Yet,TIdak cukup Ulasan,-6.2402691217,106.811862476,"https://www.zomato.com/id/jakarta/onogiri-futago-senopati
","Pasar Santa, Lantai 1, Jl. Cipaku I, Senopati, Jakarta",Rp80.000 untuk 2 orang (perkiraan),['Di dalam ruangan']
Es Teh Indonesia,Toko Minuman,['Minuman'],Cimanggis,Not Rated Yet,Not Reviewed Yet,-6.3544810000,106.844518000,"https://www.zomato.com/id/jakarta/es-teh-indonesia-cimanggis-depok
","Jl. Komjen Pol. M. Jasin, Cimanggis, Depok",Rp30.000 untuk 2 orang (perkiraan),['Hanya Bawa Pulang']
Cereal And Toast,Quick Bites,['Indonesia'],Kedoya,Not Rated Yet,TIdak cukup Ulasan,-6.1763196327,106.761398389,"https://www.zomato.com/id/jakarta/cereal-and-toast-kedoya
","Sunrise Garden, Jl. Surya Mulia I, Blok IIP No. 9, Kedoya, Jakarta 11520",Rp90.000 untuk 2 orang (perkiraan),"['Sarapan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Area Merokok']"
An.Nyeong Korean Food Cafe,Quick Bites,['Korea'],Pantai Indah Kapuk,Not Rated Yet,TIdak cukup Ulasan,-6.1164348521,106.757988967,"https://www.zomato.com/id/jakarta/an-nyeong-korean-food-cafe-pantai-indah-kapuk
","Ruko Metro Broadway, Blok DG, Lantai 1, Jl. Pantai Indah Utara No. 2, Pantai Indah Kapuk, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Bale 23,Quick Bites,"['Jawa', 'Indonesia']",Pondok Aren,3.2,6 Ulasan,-6.2931390000,106.691988000,"https://www.zomato.com/id/jakarta/bale-23-pondok-aren-tangerang
","Jl. Lengkong Gudang Timur No. 23, Pondok Aren, Tangerang",Rp150.000 untuk 2 orang (perkiraan),"['Pesan Antar', 'Bawa Pulang Tersedia', 'Parkir Gratis', 'Di dalam ruangan', 'Tempat duduk di luar', 'Area Merokok']"
PSK (Pojok Sate Kiloan) Khas Sentul,Quick Bites,"['Satay', 'Jawa']",Bogor Timur,3.7,27 Ulasan,-6.6115174928,106.805927418,"https://www.zomato.com/id/jakarta/psk-pojok-sate-kiloan-khas-sentul-bogor-timur-bogor
","Jl. Siliwangi No. 6, Bogor Timur, Bogor",Rp150.000 untuk 2 orang (perkiraan),"['Sarapan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Area Merokok', 'Di dalam ruangan']"
Depot Nasi Campur Pojok Tambak Bayan,Quick Bites,['Jawa'],Kelapa Gading,3.6,36 Ulasan,-6.1652040000,106.913413000,"https://www.zomato.com/id/jakarta/depot-nasi-campur-pojok-tambak-bayan-kelapa-gading
","Jl. Boulevard Timur Raya, Blok NE1 No. 38A, Kelapa Gading, Jakarta",Rp150.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Wifi Tersedia']"
Seoul,Food Court,['Korea'],Kelapa Gading,3.9,56 Ulasan,-6.1512870000,106.892049000,"https://www.zomato.com/id/jakarta/seoul-kelapa-gading
","Mall of Indonesia, Lantai Lower Ground, Pasar MOI, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Iseya Robatayaki,Fine Dining,['Jepang'],Sudirman,4.0,94 Ulasan,-6.2167320000,106.818229000,"https://www.zomato.com/id/jakarta/iseya-robatayaki-sudirman
","Sampoerna Strategic Square, Lantai Ground, Jl. Jenderal Sudirman, Sudirman, Jakarta",Rp800.000 untuk 2 orang (perkiraan)Tanpa alkohol,"['Bawa Pulang Tersedia', 'Hanya Wine dan Bir', 'BYOB', 'Wifi Tersedia', 'Reservasi meja direkomendasikan', 'Menyediakan cocktail', 'Ruang Pribadi Tersedia', 'Di dalam ruangan', 'Area Merokok']"
Berlin Doner,Quick Bites,"['Kebab', 'Makanan Cepat Saji', 'Turki']",Sudirman,3.8,55 Ulasan,-6.2245690000,106.803909000,"https://www.zomato.com/id/jakarta/berlin-doner-sudirman
","fX Sudirman, Lantai FB, Jl. Jenderal Sudirman, Sudirman, Jakarta",Rp140.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Ropisbak Ghifari,Quick Bites,['Makanan Jalanan'],Tebet,3.1,29 Ulasan,-6.2245140000,106.846958000,"https://www.zomato.com/id/jakarta/ropisbak-ghifari-1-tebet
","Jl. Dr. Saharjo No. 1, Tebet, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Wifi Tersedia', 'Tempat duduk di luar']"
Bakwan & Coffee Teebox,Quick Bites,['Bakso'],Dharmawangsa,3.5,25 Ulasan,-6.2528179896,106.798997595,"https://www.zomato.com/id/jakarta/bakwan-coffee-teebox-dharmawangsa
","Humble House, Jl. Wijaya 2 No. 123, Dharmawangsa, Jakarta 12160",Rp70.000 untuk 2 orang (perkiraan),"['Pesan Antar', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Area Merokok']"
Ipin Mala Seafood,Casual Dining,"['Chinese', 'Seafood']",Muara Karang,3.6,5 Ulasan,-6.1108320000,106.774628000,"https://www.zomato.com/id/jakarta/ipin-mala-seafood-muara-karang
","Jl. Pluit Karang Barat Blok C2B No. 130 A & B, Muara Karang, Jakarta",Rp300.000 untuk 2 orang (perkiraan)Tanpa alkohol,"['Pesan Antar', 'Bawa Pulang Tersedia', 'Hanya Bir', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Di dalam ruangan', 'Wifi Tersedia']"
Prohibition Chophouse & Speakeasy Bar,Casual Dining,"['Bar', 'Amerika', 'Asia']",Senayan,4.0,162 Ulasan,-6.2248712516,106.801250986,"https://www.zomato.com/id/jakarta/prohibition-chophouse-speakeasy-bar-senayan
","Plaza Senayan Arcadia, Level 2, Jl. New Delhi Pintu 1 Senayan, Senayan, Jakarta",Rp300.000 untuk 2 orang (perkiraan)Tanpa alkohol,"['', '', '', '', '', '', '', '', '', '', 'Bawa Pulang Tersedia', 'Alkohol Tersedia', 'Reservasi meja direkomendasikan', 'Ruang Pribadi Tersedia', 'Wifi Tersedia', 'Kehidupan Malam', 'Parkir Valet Tersedia', 'Di dalam ruangan', 'Area Merokok', 'Live Entertainment', 'No Additional Info']"
House of Omurice,Casual Dining,['Jepang'],Fatmawati,3.7,171 Ulasan,-6.2915820000,106.799787000,"https://www.zomato.com/id/jakarta/house-of-omurice-fatmawati
","Cilandak Town Square, Lantai Ground, Jl. TB. Simatupang, Fatmawati, Jakarta",Rp330.000 untuk 2 orang (perkiraan)Tanpa alkohol,"['Bawa Pulang Tersedia', 'Hanya Bir', 'Di dalam ruangan', 'Wifi Tersedia', 'Reservasi meja direkomendasikan']"
Sister Grounds Coffee & Eatery,Kafe,"['Kopi', 'Indonesia']",Kelapa Gading,3.9,52 Ulasan,-6.1752249758,106.912967339,"https://www.zomato.com/id/jakarta/sister-grounds-coffee-eatery-kelapa-gading
","Jl. Arteri Kelapa Gading, Blok VII No. 32, Kelapa Gading, Jakarta",Rp150.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Wifi Tersedia']"
Anarawata Kopi,Toko Minuman,['Kopi'],Mampang Prapatan,3.6,6 Ulasan,-6.2541110000,106.830229000,"https://www.zomato.com/id/jakarta/anarawata-kopi-mampang-prapatan
","Jl. Duren Tiga Raya No. 28, Mampang Prapatan, Jakarta",Rp40.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan']"
Ateng Rumah Makan,Quick Bites,"['Makassar', 'Chinese']",Kelapa Gading,3.9,72 Ulasan,-6.1734096536,106.900136321,"https://www.zomato.com/id/jakarta/ateng-rumah-makan-kelapa-gading
","Jl. Sumagung I, Blok A4 No. 16, Kelapa Gading, Jakarta",Rp200.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Udupi Delicious,Casual Dining,"['India Selatan', 'India Utara']",Kemayoran,3.8,22 Ulasan,-6.1546804060,106.851471327,"https://www.zomato.com/id/jakarta/udupi-delicious-kemayoran
","Taman Kemayoran Condominium, Tower Flamboyan, Lantai Ground, Jl. Benyamin Sueb, Kemayoran, Jakarta",Rp200.000 untuk 2 orang (perkiraan)Tanpa alkohol,"['Pesan Antar', 'Bawa Pulang Tersedia', 'Hanya Bir', 'Menyediakan cocktail', 'Ruang Pribadi Tersedia', 'Ramah Vegetarian', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Wifi Tersedia']"
Kedai MiKoRo,Quick Bites,"['Makanan Jalanan', 'Desserts', 'Kue & Roti', 'Bakmi', 'Bubble Tea']",Kelapa Gading,3.1,55 Ulasan,-6.1737880000,106.909222000,"https://www.zomato.com/id/jakarta/kedai-mikoro-kelapa-gading
","Jl. Acordion, Blok L No. 5, Kelapa Gading, Jakarta",Rp150.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Area Merokok', 'Di dalam ruangan', 'Wifi Tersedia']"
Blue Fire Steakhouse,Casual Dining,['Steak'],Duren Sawit,4.0,60 Ulasan,-6.2440360000,106.934466000,"https://www.zomato.com/id/jakarta/blue-fire-steakhouse-duren-sawit
","Jl. Pd. Kelapa Raya, Blok B14 No. 1, Duren Sawit, Jakarta 13450",Rp150.000 untuk 2 orang (perkiraan),"['Pesan Antar', 'Bawa Pulang Tersedia', 'Parkir Gratis', 'Di dalam ruangan', 'Ruang Pribadi Tersedia', 'Tempat duduk di luar', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok']"
Salad & Sushi 368,Quick Bites,['Sushi'],Blok M,4.0,55 Ulasan,-6.2442590000,106.797846000,"https://www.zomato.com/id/jakarta/salad-sushi-368-blok-m
","Plaza Blok M, Lantai 6, Jl. Bulungan No. 76, Blok M, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Waroeng Abie,Quick Bites,"['Makanan Jalanan', 'Indonesia', 'Kopi']",Pondok Bambu,3.6,94 Ulasan,-6.2295477538,106.905112490,"https://www.zomato.com/id/jakarta/waroeng-abie-pondok-bambu
","Jl. Kolonel Sugiono No. 21, Pondok Bambu, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Wifi Tersedia', 'Area Merokok']"
MAE Coffee & Eatery,Kafe,"['Kopi', 'Barat']",Pondok Aren,4.0,86 Ulasan,-6.2837680000,106.704586000,"https://www.zomato.com/id/jakarta/mae-coffee-eatery-pondok-aren-tangerang
","Jl. Elang Blok HF 1 No. 9, Pondok Aren, Tangerang 15229",Rp150.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Reservasi meja direkomendasikan', 'Di dalam ruangan', 'Wifi Tersedia', 'Area Merokok']"
Warung Ayam Afrika,Quick Bites,['Indonesia'],Menteng,3.8,111 Ulasan,-6.1858870000,106.830284000,"https://www.zomato.com/id/jakarta/warung-ayam-afrika-menteng
","Jl. Kebon Sirih Timur No. 158, Menteng, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Swikee Purwodadi,Quick Bites,['Chinese'],Green Ville,3.7,39 Ulasan,-6.1740110000,106.778755000,"https://www.zomato.com/id/jakarta/swikee-purwodadi-green-ville
","Jl. Mangga Raya No. 6, Green Ville, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Ya Kun Kaya Toast,Food Court,['Malaysia'],Senayan,3.0,12 Ulasan,-6.2259024787,106.799419038,"https://www.zomato.com/id/jakarta/ya-kun-kaya-toast-senayan
","Plaza Senayan, Lantai 3, Food Court, Jl. Asia Afrika, Senayan, Jakarta",Rp150.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Desserts and Bakes']"
Grand Marco Seafood,Quick Bites,['Seafood'],Green Ville,4.1,117 Ulasan,-6.1693860000,106.773311000,"https://www.zomato.com/id/jakarta/grand-marco-seafood-green-ville
","Jl. Komplek Green Ville Blok AV No.16, Green Ville, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Couz Steakhouse,Casual Dining,['Steak'],Cilandak,4.0,43 Ulasan,-6.2784950000,106.820343000,"https://www.zomato.com/id/jakarta/couz-steakhouse-cilandak
","Jl. Ampera Raya No. 122A, Cilandak, Jakarta",Rp500.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Wifi Tersedia']"
Go! Curry,Casual Dining,"['Thai', 'Jepang', 'India']",Tanjung Duren,4.0,246 Ulasan,-6.1749526445,106.790405139,"https://www.zomato.com/id/jakarta/go-curry-tanjung-duren
","Neo Soho Mall, Lantai 3A, Jl. Letjen S. Parman, Tanjung Duren, Jakarta",Rp250.000 untuk 2 orang (perkiraan),"['Pesan Antar', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Wifi Tersedia', 'Reservasi meja direkomendasikan']"
RM Gubug Gurame,Casual Dining,"['Seafood', 'Indonesia']",Tapos,4.0,60 Ulasan,-6.4383545842,106.879016943,"https://www.zomato.com/id/jakarta/rm-gubug-gurame-tapos-depok
","Jl. Raya Tapos No. 8, Tapos, Depok 16464",Rp200.000 untuk 2 orang (perkiraan),"['Pesan Antar', 'Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Live Entertainment', 'Live Music', 'Ruang Sholat', 'Wifi Tersedia']"
Tarida,Quick Bites,['Chinese'],Bekasi Selatan,3.7,39 Ulasan,-6.2702190000,106.973382000,"https://www.zomato.com/id/jakarta/tarida-bekasi-selatan-bekasi
","Ruko Grand Galaxy City, Blok RRG 9 No. 52, Jl. Pulo Sirih Bar. Raya, Bekasi Selatan, Bekasi",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Diana Bakery,Toko Kue & Roti,"['Kue & Roti', 'Desserts']",Medan Satria,3.5,4 Ulasan,-6.2148450000,106.985764000,"https://www.zomato.com/id/jakarta/diana-bakery-1-medan-satria-bekasi
","Jl. Cemara Permai Blok A No. 159, Medan Satria, Bekasi",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Desserts and Bakes']"
Just Request Coffee,Kafe,"['Kafe', 'Kopi', 'Tea', 'Desserts']",Pantai Indah Kapuk,3.3,26 Ulasan,-6.1119950000,106.743361000,"https://www.zomato.com/id/jakarta/just-request-coffee-pantai-indah-kapuk
","Ruko Cordoba, Blok E No. 16, Bukit Golf Mediterania, Jl. Marina Indah Raya, Pantai Indah Kapuk, Jakarta",Rp150.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Wifi Tersedia', 'Di dalam ruangan', 'Area Merokok']"
Rumah Makan Irtim Makassar,Quick Bites,['Makassar'],Muara Karang,4.2,118 Ulasan,-6.1171105877,106.777378320,"https://www.zomato.com/id/jakarta/rumah-makan-irtim-makassar-muara-karang
","Jl. Muara Karang Selatan, Blok B6 No. 2B, Muara Karang, Jakarta",Rp120.000 untuk 2 orang (perkiraan),"['Sarapan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Maison Weiner,Toko Kue & Roti,['Kue & Roti'],Senen,3.4,4 Ulasan,-6.1821860000,106.842240000,"https://www.zomato.com/id/jakarta/maison-weiner-senen
","Jl. Kramat II No. 2, Senen, Jakarta",Rp120.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Desserts and Bakes']"
Brood En Boter,Casual Dining,['Indonesia'],Kemang,4.0,291 Ulasan,-6.2440632763,106.816346123,"https://www.zomato.com/id/jakarta/brood-en-boter-kemang
","Jl. Bangka Raya No. 25, Kemang, Jakarta",Rp250.000 untuk 2 orang (perkiraan),"['Sarapan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Desserts and Bakes', 'Ruang Pribadi Tersedia', 'Wifi Tersedia', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Ramah untuk Anak', 'Ruang Sholat', 'Area Merokok']"
Soto Pak ‘J,Quick Bites,['Soto'],Cipondoh,3.5,22 Ulasan,-6.1843781580,106.707588248,"https://www.zomato.com/id/jakarta/soto-pak-j-1-cipondoh-tangerang
","Ruko Colosseum No. 1-2, Jl. Green Lake City Boulevard, Cipondoh, Tangerang",Rp90.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Pempek Selamat,Casual Dining,['Palembang'],Kemang,3.8,30 Ulasan,-6.2709190000,106.815288000,"https://www.zomato.com/id/jakarta/pempek-selamat-kemang
","Jl. Kemang Raya No. 90B, Kemang, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Parkir Valet Tersedia', 'Ruang Pribadi Tersedia', 'Wifi Tersedia', 'Di dalam ruangan', 'Area Merokok']"
Samakamu Kopi,Kafe,"['Kopi', 'Snacks']",Karet,4.1,290 Ulasan,-6.2172020000,106.819182000,"https://www.zomato.com/id/jakarta/samakamu-kopi-karet
","Jl. Prof. DR. Satrio No. 18, Karet, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Kopi Cat Cafe by Groovy,Kafe,['Indonesia'],Kemang,3.7,28 Ulasan,-6.2677050000,106.814182000,"https://www.zomato.com/id/jakarta/kopi-cat-cafe-by-groovy-kemang
","Jl. Kemang Selatan VIII No. 63AB, Kemang, Jakarta",Rp200.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Biaya masuk', 'Wifi Tersedia']"
Mantra Indonesia,Casual Dining,"['Manado', 'Padang', 'Indonesia']",Kelapa Gading,3.7,74 Ulasan,-6.1576474893,106.907836273,"https://www.zomato.com/id/jakarta/mantra-indonesia-kelapa-gading
","Mall Kelapa Gading 2, Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta",Rp250.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Reservasi meja direkomendasikan']"
Taichan Bang Gondrong,Quick Bites,['Satay'],Bogor Timur,3.7,73 Ulasan,-6.6109536449,106.811822243,"https://www.zomato.com/id/jakarta/taichan-bang-gondrong-bogor-timur-bogor
","Jl. Raya Pajajaran No. 48E, Bogor Timur, Bogor",Rp90.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Area Merokok', 'Di dalam ruangan', 'Ruang Sholat']"
Caffeine Suite,Kafe,"['Casual Dining', 'Barat', 'Indonesia']",Green Ville,3.6,41 Ulasan,-6.1773430000,106.771416000,"https://www.zomato.com/id/jakarta/caffeine-suite-green-ville
","Jl. Duri Mas Raya 1 No. 38, Green Ville, Jakarta 11510",Rp200.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Ruang Pribadi Tersedia', 'Wifi Tersedia', 'Tempat duduk di luar', 'Area Merokok']"
